Código USFQ,Código procedencia,Especie,Tipo de muestra,Estado salud animal,observaciones,Fecha colección,Fecha recepción,Semana Epidemiológica,Provincia,Ciudad,Localidad,Nombre_animal,Género,Edad,MÉDICO CONTACTO,Diagnóstico Kit Allplex,Diagnóstico Kit Bioperfectuss/LunaSARS,RT-PCR gen M,Gel amplicon sequencing,Secuenciamiento,run,PB2,PB1,PA,HA,NP,NA,MP,NS,n_regions_assembled,has_8_regions,confirmed_segments,n_confirmed_segments,confirmed_has_8_regions,failure_reason
Flu-0008,Piquero-002,Piquero peruano,Hisopado,,Kit Allplex SC-2/FLUA/FLUB/RSV Seegene,2023-05-10,2023-05-17,,SantaElena,La_Milina,,,,,,"Positivo (Ct 39,37)",-,Bandeo (M),,H5N1 Clado 2.3.4.4 ,1,,,,,,,,SI,1.0,,NS,1,False,missing_segments_not_found_in_amended_or_failed
Flu-0009,BM-A-23-008,Aves de corral,Hisopado,,Para estandarización,,2023-05-19,,,,,,,,,,"Positivo (Ct 28,78)",Bandeo (M),Sin bandas,SIII-3P,"1,3",,,,,SI,SI,SI,SI,4.0,,"NP,NA,MP,NS",4,False,
Flu-0011,BM-23-2349,Aves de corral,Hisopado,,Para estandarización,,2023-05-19,,,,,,,,,,"Positivo (Ct 30,20)",Bandeo (M),Sin bandas,SIII-3P,1,,,,,,,SI,SI,2.0,,"MP,NS",2,False,missing_segments_not_found_in_amended_or_failed
Flu-0013,BM-23-0534,Aves de corral,Hisopado,,Para estandarización,,2023-05-19,,,,,,,,,,-,Bandeo (M),Posible positivo,SIII-3P,"1,2,3",,,,SI,SI,SI,SI,SI,5.0,,"HA,NP,NA,MP,NS",5,False,
Flu-0014,REMACOPSE-SALINAS,Sula nebouxii,Hisopado,,Kit Allplex SC-2/FLUA/FLUB/RSV Seegene,2023-05-27,2023-05-30,,SantaElena,Salinas,,,,,Lucia Luje,"Positivo (Ct 24,03)","Positivo (Ct 21,46; 1:10)",Bandeo (M),Indeterminado,H5N1,"2,3",,,,,,,,SI,1.0,,NS,1,False,missing_segments_not_found_in_amended_or_failed
Flu-0018,Remape-2023-SU-MV-001,,Hisopado,,Faringea,2023-06-01,2023-06-05,,Santa Elena,Montañita,,,,,,Negativo,Negativo,Bandeo (M),Indeterminado,H5N1,3,,,,,,,,SI,1.0,,NS,1,False,missing_segments_not_found_in_amended_or_failed
Flu-0023,PG-004-SL,Pardela gris,Hisopado,,Hisopado orofaríngeo,2023-06-02,2023-06-05,,Manabi,San Lorenzo,,,,,,Negativo,Negativo,Bandeo (M),Posible positivo,H5N1,"2,3",,,,SI,SI,SI,SI,SI,5.0,,"HA,NP,NA,MP,NS",5,False,
Flu-0027,,Puffinus sp.,Hisopado,,,2023-05-30,2023-06-02,,Santa Elena,Ayangue,,,,,,,Negativo,Bandeo (M),Sin bandas,Negativo,3,,,,,,,SI,SI,2.0,,"MP,NS",2,False,
Flu-0035,004/31-05/2023,Thalasseus elegans,Hisopado laringotraqueal,,Hisopado orofaríngeo; Playa Muisne, Playa Muisne,2023-05-31,2023-06-06,Esmeraldas,Muisne,Playa Muisne,Playa Muisne,,,Nelson López; Lucía Luje,Nelson López,Negativo,Bandeo (M),Sin bandas,Negativo,3,,,,,,,SI,SI,2.0,,"NP,MP,NS",3,False,
Flu-0055,PG-002-SL,Pardela gris,Hisopado laringotraqueal,,Orofaringeo,2023-06-06,2023-06-06,,Manabi,Manta,Playa San Lorenzo,,,,,"Negativo (CI 29,74)",Negativo,Bandeo (M),Posible positivo,H5N1,"2,3",,,,,,,SI,,1.0,,MP,1,False,
